name;count
"РУЧКА ДВЕРИ НАР З Л";"0,00"
"УСИЛИТ БОК ЧСТ Л ВНУ";"0,00"
"ОБЛИЦ С-СТОЙКИ ПР";"0,00"
"ШУМОИЗОЛ ДВЕРИ З ПР";"0,00"
"НАПРАВЛ ДВЕРИ З Л";"0,00"
"ФОНАРЬ НОМЕР ЗНАК Л";"0,00"
"ОГР ХОДА ДВЕРИ З Л";"0,00"
"РУЧКА ВНУ ДВЕРЬ З Л";"0,00"
"VW-ЭМБЛЕМА З";"0,00"
"АКТИВАТОР СТЕКЛА З";"0,00"
"КРЕП ПЛАНК БАМПЕР ЗД";"0,00"
"КРП ЗАЛ ГОРЛ Т/БАКА";"0,00"
"НАПРАВЛ ДВЕРИ З ПР";"0,00"
"ДЕРЖ АРКИ КОЛЕСА";"0,00"
"ОБЛИЦ КРЫШК БАГАЖН";"0,00"
"ЯЩИК Д/ИНСТРУМЕНТОВ";"0,00"
ЛОНЖЕРОНЗЛ;"0,00"
"ГАБ ФОНАРЬ З Л В СБ";"0,00"
"СОЕДИНИТ ПАНЕЛЬ З ПР";"0,00"
"НАСТИЛ БАГАЖНИКА";"0,00"
"СКОБА СУППОРТА З ПР";"0,00"
"БОКОВИНА ВНУ ПР Н";"0,00"
"ТОРМОЗНОЙ ДИСКЗ ПР";"0,00"
"ЛОНЖЕРОН З Л";"0,00"
"НОМЕРНОЙ ЗНАКЗ";"0,00"
"КРЕПЛ АМ СТОЙКИ З Л";"0,00"
"УСИЛ РАМА КРЫШ ПР ВНУ";"0,00"
"МЕЛКИЕ ДЕТАЛИ (2.00%)";"0,00"
"МОЛДИНГ ПР БАМПЕР З";"0,00"
"УДЛИН ЛОНЖЕР З ПР";"0,00"
"СОЕДИНИТ БОК Ч ВНУ Л";"0,00"
"БОКОВ СТЕКЛО З ПР";"0,00"
"ЛОНЖЕРОНЗЛ В";"0,00"
"СТЕКЛО ЗАДНЕЕ";"0,00"
"ОБРЕЗНАЯ НИТЬ";"0,00"
"ДОПОЛН СТОП-СИГНАЛ";"0,00"
"РАМКА НОМЕР ЗНАКА З";"0,00"
"ОТРАЖАТЕЛЬ ПР";"0,00"
"К-Т НАПРАВЛ БАМПЕРА";"0,00"
"ДЕРЖ ПАНЕЛЬ ПОЛА З ПР";"0,00"
