номер;имя;к-во;0
1;РУЧКА ДВЕРИ НАР З Л;0;0
1;УСИЛИТ БОК ЧСТ Л ВНУ;0;0
1;ОБЛИЦ С-СТОЙКИ ПР;0;0
1;ШУМОИЗОЛ ДВЕРИ З ПР;0;0
1;НАПРАВЛ ДВЕРИ З Л;0;0
1;ФОНАРЬ НОМЕР ЗНАК Л;0;0
1;ОГР ХОДА ДВЕРИ З Л;0;0
1;РУЧКА ВНУ ДВЕРЬ З Л;0;0
1;VW-ЭМБЛЕМА З;0;0
1;АКТИВАТОР СТЕКЛА З;0;0
1;КРП ЗАЛ ГОРЛ Т/БАКА;0;0
1;НАПРАВЛ ДВЕРИ З ПР;0;0
1;ДЕРЖ АРКИ КОЛЕСА;0;0
1;ОБЛИЦ КРЫШК БАГАЖН;0;0
1;ЯЩИК Д/ИНСТРУМЕНТОВ;0;0
1;ГАБ ФОНАРЬ З Л В СБ;0;0
1;СОЕДИНИТ ПАНЕЛЬ З ПР;0;0
1;НАСТИЛ БАГАЖНИКА;0;0
1;СКОБА СУППОРТА З ПР;0;0
1;БОКОВИНА ВНУ ПР Н;0;0
1;ТОРМОЗНОЙ ДИСКЗ ПР;0;0
1;ЛОНЖЕРОН З Л;0;0
1;НОМЕРНОЙ ЗНАКЗ;0;0
1;КРЕПЛ АМ СТОЙКИ З Л;0;0
1;УСИЛ РАМА КРЫШ ПР ВНУ;0;0
1;МЕЛКИЕ ДЕТАЛИ (2.00%);0;0
1;МОЛДИНГ ПР БАМПЕР З;0;0
1;УДЛИН ЛОНЖЕР З ПР;0;0
1;СОЕДИНИТ БОК Ч ВНУ Л;0;0
1;БОКОВ СТЕКЛО З ПР;0;0
1;СТЕКЛО ЗАДНЕЕ;0;0
1;ОБРЕЗНАЯ НИТЬ;0;0
1;ДОПОЛН СТОП-СИГНАЛ;0;0
1;РАМКА НОМЕР ЗНАКА З;0;0
1;ОТРАЖАТЕЛЬ ПР;0;0
1;К-Т НАПРАВЛ БАМПЕРА;0;0
1;ДЕРЖ ПАНЕЛЬ ПОЛА З ПР;0;0
1;ВОЗ РЕШЕТКА З Л;0;0
1;БАГАЖНАЯ КРЫШКА;0;0
1;СТЕКЛО ДВЕРИ З Л;0;0
1;ПРАЙМЕР ЗАДН СТЕКЛО;0;0
1;СТ-ПОДЪЕМНИК З ПР;0;0
1;УСИЛ РАМА КРЫШ Л ВНУ;0;0
1;ОТРАЖАТЕЛЬ Л;0;0
1;ТОПЛИВНЫЙ ФИЛЬТР;0;0
1;УПЛ К-ЦО КРЫШКИ БАГ;0;0
1;ВОДОСТОЧН КАНАЛ З Л;0;0
1;К-Т КЛЕЯ ОКНО БОК ПР;0;0
1;АПЛИКАТОР;0;0
1;К-Т КЛЕЯ ОКНО БОК Л;0;0
1;КРЕПЛ АМ СТОЙКИ З ПР;0;0
1;ОБЛ АРКИ КОЛЕСА З Л;0;0
1;ОБЛ АРКИ КОЛЕСА З ПР;0;0
1;ДЕРЖ ПАНЕЛЬ ПОЛ З ПР;0;0
1;СОЕДИН БОК Ч ВНУ ПР;0;0
1;ЛЮЧОК Т/БАКА;0;0
1;ЗАГЛУШ ЛОНЖЕРОН З ПР;0;0
1;СТ-ПОДЪЕМНИК З Л;0;0
1;ВОЗ РЕШЕТКА З ПР;0;0
1;НАПРАВЛ ПР БАМПЕРА З;0;0
1;МОЛДИНГ ПР БАМПЕРЗ;0;0
1;КРЫШКА БАГАЖНИКА;0;0
1;ЛОНЖЕРОН З Л В;0;0
1;СОЕДИНИТ БОК Ч ВНУ ПР;0;0
1;АКТИВАТОР БОК СТЕКЛО;0;0
1;ЗАКРЫВ ПАНЕЛЬ З;0;0
1;УСИЛИТ БОК Ч ПР ВНУ;0;0
1;НАКЛ РУЧКА З ВНУ Л;0;0
1;ДЕРЖ ПАНЕЛЬ ПОЛА З Л;0;0
1;ЗАГЛУШ ЛОНЖЕРОН З Л;0;0
1;МОЛДИНГ БАМПЕРА З;0;0
1;ПОПЕР ЗАДНИЙ ОТСЕК;0;0
1;ЗАМОК КРЫШКИ БАГАЖ;0;0
1;НАКЛ РУЧКА З ВНУ ПР;0;0
1;ОБЛИЦ Л БАГАЖНИКА;0;0
1;СТЕКЛО ДВЕРИ З ПР;0;0
1;ВОДОСТОЧН КАНАЛ ЗЛ;0;0
1;СКОБА СУППОРТА З Л;0;0
1;ФИКСАТОР ДВЕРИ З ПР;0;0
1;ЭЛ-ДВ СТ-ПОДЪЁМ З ПР;0;0
1;ЭМБЛЕМА "POLO";0;0
1;К-Т КЛЕЯ Д/СТЕКЛА З;0;0
1;ОЧИЩАЮЩИЙ РАСТВОР;0;0
1;РУЧКА ДВЕРИ НАР З ПР;0;0
1;БОКОВ СТЕКЛО З Л;0;0
1;ГРУНТОВКА БОК СТЕКЛО;0;0
1;НАПРАВЛ Л БАМПЕРА З;0;0
1;ОБЛИЦ С-СТОЙКИ Л;0;0
1;ФОНАРЬ НОМЕР ЗНАК ПР;0;0
1;МОЛД Л БАМПЕР З;0;0
1;УДЛИН ЛОНЖЕР З Л;0;0
